,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
42,17,5015,virginia,0,955.784095ms,2018-08-24 23:36:36.771180+00:00,virginia,server,78,3,alia-virginia-78,185,2018-08-24 23:36:35.815397+00:00,5247.00089302072,0.3.6
43,33,5016,virginia,0,1.000284885s,2018-08-25 00:44:47.561500+00:00,virginia,server,78,5,alia-virginia-78,243,2018-08-25 00:44:46.561218+00:00,5014.571423819925,0.3.6
44,4,2000,virginia,0,977.839555ms,2018-08-25 00:10:40.454874+00:00,virginia,server,78,5,alia-virginia-78,214,2018-08-25 00:10:39.477035+00:00,2045.325319244219,0.3.6
45,34,5032,virginia,0,737.25163ms,2018-08-24 23:56:30.273872+00:00,virginia,server,78,3,alia-virginia-78,202,2018-08-24 23:56:29.536621+00:00,6825.349440054815,0.3.6
46,25,5025,virginia,0,1.739052221s,2018-08-24 23:45:59.612487+00:00,virginia,server,78,3,alia-virginia-78,193,2018-08-24 23:45:57.873435+00:00,2889.50494948938,0.3.6
47,23,5014,virginia,0,773.259769ms,2018-08-24 19:50:24.669126+00:00,virginia,server,78,3,alia-virginia-78,107,2018-08-24 19:50:23.895866+00:00,6484.2375111332085,0.3.6
48,29,5017,virginia,0,1.053903137s,2018-08-24 18:27:26.560551+00:00,virginia,server,78,5,alia-virginia-78,71,2018-08-24 18:27:25.506648+00:00,4760.399531859444,0.3.6
49,24,5016,virginia,0,1.039551296s,2018-08-24 20:42:17.830455+00:00,virginia,server,78,5,alia-virginia-78,150,2018-08-24 20:42:16.790903+00:00,4825.15871924804,0.3.6
50,17,5015,virginia,0,1.929633032s,2018-08-24 17:31:01.583900+00:00,virginia,server,78,3,alia-virginia-78,26,2018-08-24 17:30:59.654300+00:00,2598.939755297473,0.3.6
51,20,5020,virginia,0,1.294996217s,2018-08-24 20:37:29.638998+00:00,virginia,server,78,5,alia-virginia-78,146,2018-08-24 20:37:28.344000+00:00,3876.4592004981896,0.3.6
52,21,5019,virginia,0,832.901422ms,2018-08-24 17:35:48.811074+00:00,virginia,server,78,3,alia-virginia-78,30,2018-08-24 17:35:47.978173+00:00,6025.923197427319,0.3.6
