,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
107,20,5020,virginia,0,654.46316ms,2018-08-28 18:23:39.043860+00:00,virginia,server,78,3,alia-virginia-78,272,2018-08-28 18:23:38.389397+00:00,7670.408827901023,0.4
108,41,5002,virginia,0,760.153265ms,2018-08-28 21:17:19.290179+00:00,virginia,server,78,5,alia-virginia-78,419,2018-08-28 21:17:18.530026+00:00,6580.25194432336,0.4
109,11,5005,virginia,0,735.423396ms,2018-08-27 17:53:25.113380+00:00,virginia,server,78,3,alia-virginia-78,95,2018-08-27 17:53:24.377964+00:00,6805.603448601736,0.4
110,24,5016,virginia,0,910.954688ms,2018-08-28 20:14:08.309987+00:00,virginia,server,78,3,alia-virginia-78,360,2018-08-28 20:14:07.399032+00:00,5506.311198653165,0.4
111,15,5010,virginia,0,906.68364ms,2018-08-28 16:54:32.257338+00:00,virginia,server,78,5,alia-virginia-78,225,2018-08-28 16:54:31.350655+00:00,5525.631851039024,0.4
112,30,5010,virginia,0,614.272553ms,2018-08-28 16:25:41.121986+00:00,virginia,server,78,3,alia-virginia-78,198,2018-08-28 16:25:40.507713+00:00,8155.988698391347,0.4
113,9,4500,virginia,0,891.640829ms,2018-08-28 16:03:15.702082+00:00,virginia,server,78,3,alia-virginia-78,177,2018-08-28 16:03:14.810441+00:00,5046.87521436953,0.4
114,36,5004,virginia,0,485.660261ms,2018-08-27 18:23:33.458995+00:00,virginia,server,78,3,alia-virginia-78,120,2018-08-27 18:23:32.973334+00:00,10303.49897209317,0.4
115,14,5012,virginia,0,780.491959ms,2018-08-27 17:03:14.522734+00:00,virginia,server,78,5,alia-virginia-78,56,2018-08-27 17:03:13.742242+00:00,6421.590821283528,0.4
116,41,5002,virginia,0,590.266729ms,2018-08-28 16:37:25.438084+00:00,virginia,server,78,3,alia-virginia-78,209,2018-08-28 16:37:24.847817+00:00,8474.135088850655,0.4
117,10,5000,virginia,0,908.718978ms,2018-08-27 18:42:56.721781+00:00,virginia,server,78,5,alia-virginia-78,136,2018-08-27 18:42:55.813062+00:00,5502.251104081156,0.4
